"","Rk","Year","Tm","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","current"
"653",4,2013,"Cincinnati Reds","NL Central",162,90,72,0,0.556,0.577,"3rd of 5","7.0","Lost NLWC (1-0)",698,589,"2,492,101",28.5,27.7,39,20,"J.Votto (6.6)","D.Baker (90-72)","Cincinnati Reds"
"654",5,2012,"Cincinnati Reds","NL Central",162,97,65,0,0.599,0.559,"1st of 6","--","Lost LDS (3-2)",669,588,"2,347,251",28.8,27.1,38,17,"J.Votto (5.9)","D.Baker (97-65)","Cincinnati Reds"
"655",6,2011,"Cincinnati Reds","NL Central",162,79,83,0,0.488,0.509,"3rd of 6","17.0","",735,720,"2,213,588",28.6,27.7,42,21,"J.Votto (6.3)","D.Baker (79-83)","Cincinnati Reds"
"656",7,2010,"Cincinnati Reds","NL Central",162,91,71,0,0.562,0.565,"1st of 6","--","Lost LDS (3-0)",790,685,"2,060,550",29,28.2,44,23,"J.Votto (6.9)","D.Baker (91-71)","Cincinnati Reds"
"657",8,2009,"Cincinnati Reds","NL Central",162,78,84,0,0.481,0.467,"4th of 6","13.0","",673,723,"1,747,919",27.9,29,46,22,"J.Votto (4.8)","D.Baker (78-84)","Cincinnati Reds"
"658",9,2008,"Cincinnati Reds","NL Central",162,74,88,0,0.457,0.442,"5th of 6","23.5","",704,800,"2,058,632",28.6,28.7,48,23,"E.Volquez (4.6)","D.Baker (74-88)","Cincinnati Reds"
"659",10,2007,"Cincinnati Reds","NL Central",162,72,90,0,0.444,0.461,"5th of 6","13.0","",783,853,"2,058,593",29.7,29.1,51,25,"A.Harang (5.5)","J.Narron (31-51) and P.Mackanin (41-39)","Cincinnati Reds"
"660",11,2006,"Cincinnati Reds","NL Central",162,80,82,0,0.494,0.469,"3rd of 6","3.5","",749,801,"2,134,607",29.6,29.5,54,29,"B.Arroyo (7.0)","J.Narron (80-82)","Cincinnati Reds"
"661",12,2005,"Cincinnati Reds","NL Central",163,73,89,1,0.451,0.463,"5th of 6","27.0","",820,889,"1,943,067",28.6,28.9,46,22,"F.Lopez (4.2)","D.Miley (27-43) and J.Narron (46-46)","Cincinnati Reds"
"662",13,2004,"Cincinnati Reds","NL Central",162,76,86,0,0.469,0.414,"4th of 6","29.0","",750,907,"2,287,250",28.4,28.5,44,22,"A.Dunn (4.7)","D.Miley (76-86)","Cincinnati Reds"
"663",14,2003,"Cincinnati Reds","NL Central",162,69,93,0,0.426,0.39,"5th of 6","19.0","",694,886,"2,355,259",27.3,28,57,30,"J.Guillen (4.7)","B.Boone (46-58), R.Knight (1-0) and D.Miley (22-35)","Cincinnati Reds"
"664",15,2002,"Cincinnati Reds","NL Central",162,78,84,0,0.481,0.46,"3rd of 6","19.0","",709,774,"1,855,787",27.7,28.7,43,21,"E.Dessens (4.3)","B.Boone (78-84)","Cincinnati Reds"
"665",16,2001,"Cincinnati Reds","NL Central",162,66,96,0,0.407,0.434,"5th of 6","27.0","",735,850,"1,879,757",28,27.4,50,25,"E.Dessens (4.5)","B.Boone (66-96)","Cincinnati Reds"
"666",17,2000,"Cincinnati Reds","NL Central",163,85,77,1,0.525,0.534,"2nd of 6","10.0","",825,765,"2,577,371",29.2,28.5,45,21,"K.Griffey (5.5)","J.McKeon (85-77)","Cincinnati Reds"
"667",18,1999,"Cincinnati Reds","NL Central",163,96,67,0,0.589,0.589,"2nd of 6","1.5","",865,711,"2,061,222",28.3,28,35,17,"M.Cameron (5.5)","J.McKeon (96-67)","Cincinnati Reds"
"668",19,1998,"Cincinnati Reds","NL Central",162,77,85,0,0.475,0.494,"4th of 6","25.0","",750,760,"1,793,649",27.5,28,47,24,"B.Larkin (5.7)","J.McKeon (77-85)","Cincinnati Reds"
"669",20,1997,"Cincinnati Reds","NL Central",162,76,86,0,0.469,0.427,"3rd of 5","8.0","",651,764,"1,785,788",28.2,29.6,50,25,"J.Shaw (3.6)","R.Knight (43-56) and J.McKeon (33-30)","Cincinnati Reds"
"670",21,1996,"Cincinnati Reds","NL Central",162,81,81,0,0.5,0.503,"3rd of 5","7.0","",778,773,"1,861,428",29.3,29.2,48,24,"B.Larkin (7.2)","R.Knight (81-81)","Cincinnati Reds"
"671",22,1995,"Cincinnati Reds","NL Central",144,85,59,0,0.59,0.582,"1st of 5","--","Lost NLCS (4-0)",747,623,"1,837,649",28.4,28.3,47,24,"R.Sanders (6.6)","D.Johnson (85-59)","Cincinnati Reds"
"672",23,1994,"Cincinnati Reds","NL Central",115,66,48,1,0.579,0.598,"1st of 5","--","",609,490,"1,897,681",28.5,27.2,35,16,"B.Larkin (3.9)","D.Johnson (66-48)","Cincinnati Reds"
"673",24,1993,"Cincinnati Reds","NL West",162,73,89,0,0.451,0.462,"5th of 7","31.0","",722,785,"2,453,232",28.4,27.9,51,24,"J.Rijo (10.2)","T.Perez (20-24) and D.Johnson (53-65)","Cincinnati Reds"
"674",25,1992,"Cincinnati Reds","NL West",162,90,72,0,0.556,0.537,"2nd of 6","8.0","",660,609,"2,315,946",27.9,28.1,42,17,"J.Rijo (5.9)","L.Piniella (90-72)","Cincinnati Reds"
"675",26,1991,"Cincinnati Reds","NL West",162,74,88,0,0.457,0.499,"5th of 6","20.0","",689,691,"2,372,377",28.2,27.6,40,17,"B.Larkin (6.1)","L.Piniella (74-88)","Cincinnati Reds"
"676",27,1990,"Cincinnati Reds","NL West",162,91,71,0,0.562,0.568,"1st of 6","--","Won WS (4-0)",693,597,"2,400,892",27.5,27.4,40,17,"J.Rijo (5.8)","L.Piniella (91-71)","Cincinnati Reds"
"677",28,1989,"Cincinnati Reds","NL West",162,75,87,0,0.463,0.459,"5th of 6","17.0","",632,691,"1,979,320",28,28.1,42,17,"R.Dibble (3.9)","P.Rose (59-66) and T.Helms (16-21)","Cincinnati Reds"
"678",29,1988,"Cincinnati Reds","NL West",161,87,74,0,0.54,0.533,"2nd of 6","7.0","",641,596,"2,072,528",27.5,26.7,45,20,"B.Larkin (7.0)","P.Rose (75-59) and T.Helms (12-15)","Cincinnati Reds"
"679",30,1987,"Cincinnati Reds","NL West",162,84,78,0,0.519,0.518,"2nd of 6","6.0","",783,752,"2,185,205",28.9,28.3,37,18,"E.Davis (7.9)","P.Rose (84-78)","Cincinnati Reds"
"680",31,1986,"Cincinnati Reds","NL West",162,86,76,0,0.531,0.509,"2nd of 6","10.0","",732,717,"1,692,432",30.8,27.9,34,15,"E.Davis (5.3)","P.Rose (86-76)","Cincinnati Reds"
"681",32,1985,"Cincinnati Reds","NL West",162,89,72,1,0.553,0.507,"2nd of 6","5.5","",677,666,"1,834,619",31.5,26.4,37,15,"D.Parker (4.7)","P.Rose (89-72)","Cincinnati Reds"
"682",33,1984,"Cincinnati Reds","NL West",162,70,92,0,0.432,0.421,"5th of 6","22.0","",627,747,"1,275,887",29.3,26.2,43,20,"M.Soto (4.9)","V.Rapp (51-70) and P.Rose (19-22)","Cincinnati Reds"
"683",34,1983,"Cincinnati Reds","NL West",162,74,88,0,0.457,0.44,"6th of 6","17.0","",623,710,"1,190,419",27.9,26.5,35,14,"M.Soto (6.7)","R.Nixon (74-88)","Cincinnati Reds"
"684",35,1982,"Cincinnati Reds","NL West",162,61,101,0,0.377,0.413,"6th of 6","28.0","",545,661,"1,326,528",28.4,27.2,33,14,"M.Soto (7.7)","J.McNamara (34-58) and R.Nixon (27-43)","Cincinnati Reds"
"685",36,1981,"Cincinnati Reds","NL West",108,66,42,0,0.611,0.524,"1st of 6","--","",464,440,"1,093,730",29.3,26.8,33,13,"T.Seaver (4.4)","J.McNamara (66-42)","Cincinnati Reds"
"686",37,1980,"Cincinnati Reds","NL West",163,89,73,1,0.549,0.525,"3rd of 6","3.5","",707,670,"2,022,450",28.6,26,34,15,"G.Foster (4.0)","J.McNamara (89-73)","Cincinnati Reds"
"687",38,1979,"Cincinnati Reds","NL West",161,90,71,0,0.559,0.558,"1st of 6","--","Lost NLCS (3-0)",731,644,"2,356,933",29.4,28.5,35,14,"J.Bench (5.6)","J.McNamara (90-71)","Cincinnati Reds"
"688",39,1978,"Cincinnati Reds","NL West",161,92,69,0,0.571,0.514,"2nd of 6","2.5","",710,688,"2,532,497",29.9,28.3,35,14,"G.Foster (4.8)","S.Anderson (92-69)","Cincinnati Reds"
"689",40,1977,"Cincinnati Reds","NL West",162,88,74,0,0.543,0.546,"2nd of 6","10.0","",802,725,"2,519,670",29.5,29.1,37,20,"G.Foster (8.4)","S.Anderson (88-74)","Cincinnati Reds"
"690",41,1976,"Cincinnati Reds","NL West",162,102,60,0,0.63,0.635,"1st of 6","--","Won WS (4-0)",857,633,"2,629,708",29.1,27.2,29,13,"J.Morgan (9.6)","S.Anderson (102-60)","Cincinnati Reds"
"691",42,1975,"Cincinnati Reds","NL West",162,108,54,0,0.667,0.659,"1st of 6","--","Won WS (4-3)",840,586,"2,315,603",28.4,27.6,29,12,"J.Morgan (10.9)","S.Anderson (108-54)","Cincinnati Reds"
"692",43,1974,"Cincinnati Reds","NL West",163,98,64,1,0.605,0.594,"2nd of 6","4.0","",776,631,"2,164,307",27.7,27.3,35,15,"J.Morgan (8.6)","S.Anderson (98-64)","Cincinnati Reds"
"693",44,1973,"Cincinnati Reds","NL West",162,99,63,0,0.611,0.58,"1st of 6","--","Lost NLCS (3-2)",741,621,"2,017,601",27.7,26.7,36,13,"J.Morgan (9.2)","S.Anderson (99-63)","Cincinnati Reds"
"694",45,1972,"Cincinnati Reds","NL West",154,95,59,0,0.617,0.607,"1st of 6","--","Lost WS (4-3)",707,557,"1,611,459",27.2,25.5,31,13,"J.Morgan (9.3)","S.Anderson (95-59)","Cincinnati Reds"
"695",46,1971,"Cincinnati Reds","NL West",162,79,83,0,0.488,0.504,"4th of 6","11.0","",586,581,"1,501,122",26.8,25.1,35,15,"L.May (5.4)","S.Anderson (79-83)","Cincinnati Reds"
"696",47,1970,"Cincinnati Reds","NL West",162,102,60,0,0.63,0.559,"1st of 6","--","Lost WS (4-1)",775,681,"1,803,568",25.9,25.2,33,15,"J.Bench (7.4)","S.Anderson (102-60)","Cincinnati Reds"
"697",48,1969,"Cincinnati Reds","NL West",163,89,73,1,0.549,0.518,"3rd of 6","4.0","",798,768,"987,991",26.3,27.3,36,17,"P.Rose (6.6)","D.Bristol (89-73)","Cincinnati Reds"
"698",49,1968,"Cincinnati Reds","NL",163,83,79,1,0.512,0.511,"4th of 10","14.0","",690,673,"733,354",26.5,27.1,34,16,"T.Perez (5.9)","D.Bristol (83-79)","Cincinnati Reds"
"699",50,1967,"Cincinnati Reds","NL",162,87,75,0,0.537,0.532,"4th of 10","14.5","",604,563,"958,300",26.6,26.3,33,14,"G.Nolan (6.1)","D.Bristol (87-75)","Cincinnati Reds"
"700",51,1966,"Cincinnati Reds","NL",160,76,84,0,0.475,0.493,"7th of 10","18.0","",692,702,"742,958",26.3,27.5,31,16,"J.Maloney (7.4)","D.Heffner (37-46) and D.Bristol (39-38)","Cincinnati Reds"
"701",52,1965,"Cincinnati Reds","NL",162,89,73,0,0.549,0.572,"4th of 10","8.0","",825,704,"1,047,824",26.2,27.2,34,15,"J.Maloney (9.0)","D.Sisler (89-73)","Cincinnati Reds"
"702",53,1964,"Cincinnati Reds","NL",163,92,70,1,0.568,0.57,"2nd of 10","1.0","",660,566,"862,466",26.1,28.5,33,13,"F.Robinson (7.9)","F.Hutchinson (60-49) and D.Sisler (32-21)","Cincinnati Reds"
"703",54,1963,"Cincinnati Reds","NL",162,86,76,0,0.531,0.54,"5th of 10","13.0","",648,594,"858,805",26.4,29.2,35,12,"V.Pinson (6.4)","F.Hutchinson (86-76)","Cincinnati Reds"
"704",55,1962,"Cincinnati Reds","NL",162,98,64,0,0.605,0.572,"3rd of 10","3.5","",802,685,"982,095",27.2,28.4,37,16,"F.Robinson (8.7)","F.Hutchinson (98-64)","Cincinnati Reds"
"705",56,1961,"Cincinnati Reds","NL",154,93,61,0,0.604,0.538,"1st of 8","--","Lost WS (4-1)",710,653,"1,117,603",26.9,26.5,37,13,"F.Robinson (7.7)","F.Hutchinson (93-61)","Cincinnati Reds"
"706",57,1960,"Cincinnati Reds","NL",154,67,87,0,0.435,0.464,"6th of 8","28.0","",640,692,"663,486",27.3,28.1,41,17,"F.Robinson (6.2)","F.Hutchinson (67-87)","Cincinnati Reds"
"707",58,1959,"Cincinnati Redlegs","NL",154,74,80,0,0.481,0.516,"5th of 8","13.0","",764,738,"801,298",28,28.8,39,17,"D.Newcombe (6.7)","M.Smith (35-45) and F.Hutchinson (39-35)","Cincinnati Reds"
"708",59,1958,"Cincinnati Redlegs","NL",154,76,78,0,0.494,0.551,"4th of 8","16.0","",695,621,"788,582",29.6,30.4,43,20,"B.Purkey (4.5)","B.Tebbetts (52-61) and J.Dykes (24-17)","Cincinnati Reds"
"709",60,1957,"Cincinnati Redlegs","NL",154,80,74,0,0.519,0.48,"4th of 8","15.0","",747,781,"1,070,850",28.6,29.4,39,17,"F.Robinson (6.9)","B.Tebbetts (80-74)","Cincinnati Reds"
"710",61,1956,"Cincinnati Redlegs","NL",155,91,63,1,0.591,0.574,"3rd of 8","2.0","",775,658,"1,125,928",27.7,29.5,39,15,"F.Robinson (6.5)","B.Tebbetts (91-63)","Cincinnati Reds"
"711",62,1955,"Cincinnati Redlegs","NL",154,75,79,0,0.487,0.549,"5th of 8","23.5","",761,684,"693,662",27.8,28.4,41,17,"W.Post (5.3)","B.Tebbetts (75-79)","Cincinnati Reds"
"712",63,1954,"Cincinnati Redlegs","NL",154,74,80,0,0.481,0.479,"5th of 8","23.0","",729,763,"704,167",27,28.3,38,18,"T.Kluszewski (7.9)","B.Tebbetts (74-80)","Cincinnati Reds"
"713",64,1953,"Cincinnati Reds","NL",155,68,86,1,0.442,0.455,"6th of 8","37.0","",714,788,"548,086",27.2,28.2,35,16,"T.Kluszewski (4.9)","R.Hornsby (64-82) and B.Mills (4-4)","Cincinnati Reds"
"714",65,1952,"Cincinnati Reds","NL",154,69,85,0,0.448,0.468,"6th of 8","27.5","",615,659,"604,197",28,28.4,36,14,"K.Raffensberger (5.7)","L.Sewell (39-59), E.Brucker (3-2) and R.Hornsby (27-24)","Cincinnati Reds"
"715",66,1951,"Cincinnati Reds","NL",155,68,86,1,0.442,0.42,"6th of 8","28.5","",559,667,"588,268",28.1,29.3,33,12,"E.Blackwell (4.5)","L.Sewell (68-86)","Cincinnati Reds"
"716",67,1950,"Cincinnati Reds","NL",153,66,87,0,0.431,0.447,"6th of 8","24.5","",654,734,"538,794",27.5,27.8,34,12,"E.Blackwell (6.9)","L.Sewell (66-87)","Cincinnati Reds"
"717",68,1949,"Cincinnati Reds","NL",156,62,92,2,0.403,0.407,"7th of 8","35.0","",627,770,"707,782",28.6,27.8,35,15,"K.Raffensberger (5.2)","B.Walters (61-90) and L.Sewell (1-2)","Cincinnati Reds"
"718",69,1948,"Cincinnati Reds","NL",153,64,89,0,0.418,0.39,"7th of 8","27.0","",588,751,"823,386",28.4,28.3,36,16,"J.Vander Meer (5.3)","J.Neun (44-56) and B.Walters (20-33)","Cincinnati Reds"
"719",70,1947,"Cincinnati Reds","NL",154,73,81,0,0.474,0.453,"5th of 8","21.0","",681,755,"899,975",28.8,27.9,38,18,"E.Blackwell (8.7)","J.Neun (73-81)","Cincinnati Reds"
"720",71,1946,"Cincinnati Reds","NL",156,67,87,2,0.435,0.461,"6th of 8","30.0","",523,570,"715,751",28.4,31.5,35,15,"J.Beggs (3.5)","B.McKechnie (64-86) and H.Gowdy (3-1)","Cincinnati Reds"
"721",72,1945,"Cincinnati Reds","NL",154,61,93,0,0.396,0.384,"7th of 8","37.0","",536,694,"290,070",29.2,32.9,34,17,"B.Walters (4.5)","B.McKechnie (61-93)","Cincinnati Reds"
"722",73,1944,"Cincinnati Reds","NL",155,89,65,1,0.578,0.53,"3rd of 8","16.0","",573,537,"409,567",30.4,31.7,39,18,"F.McCormick (6.1)","B.McKechnie (89-65)","Cincinnati Reds"
"723",74,1943,"Cincinnati Reds","NL",155,87,67,1,0.565,0.552,"2nd of 8","18.0","",608,543,"379,122",30,31.6,30,10,"L.Frey (4.5)","B.McKechnie (87-67)","Cincinnati Reds"
"724",75,1942,"Cincinnati Reds","NL",154,76,76,2,0.5,0.485,"4th of 8","29.0","",527,545,"427,031",28.7,31.2,35,11,"L.Frey (5.2)","B.McKechnie (76-76)","Cincinnati Reds"
"725",76,1941,"Cincinnati Reds","NL",154,88,66,0,0.571,0.54,"3rd of 8","12.0","",616,564,"643,513",28.8,29.8,35,12,"B.Walters (7.0)","B.McKechnie (88-66)","Cincinnati Reds"
"726",77,1940,"Cincinnati Reds","NL",155,100,53,2,0.654,0.63,"1st of 8","--","Won WS (4-3)",707,528,"850,180",28.9,29.6,33,12,"B.Walters (6.7)","B.McKechnie (100-53)","Cincinnati Reds"
"727",78,1939,"Cincinnati Reds","NL",156,97,57,2,0.63,0.614,"1st of 8","--","Lost WS (4-0)",767,595,"981,443",28.8,28.9,38,16,"B.Walters (9.8)","B.McKechnie (97-57)","Cincinnati Reds"
"728",79,1938,"Cincinnati Reds","NL",151,82,68,1,0.547,0.56,"4th of 8","6.0","",723,634,"706,756",28.1,29.1,34,13,"I.Goodman (5.9)","B.McKechnie (82-68)","Cincinnati Reds"
"729",80,1937,"Cincinnati Reds","NL",155,56,98,1,0.364,0.435,"8th of 8","40.0","",612,706,"411,221",28.6,28.8,43,15,"L.Grissom (3.9)","C.Dressen (51-78) and B.Wallace (5-20)","Cincinnati Reds"
"730",81,1936,"Cincinnati Reds","NL",154,74,80,0,0.481,0.477,"5th of 8","18.0","",722,760,"466,345",28,28.1,33,16,"K.Cuyler (3.8)","C.Dressen (74-80)","Cincinnati Reds"
"731",82,1935,"Cincinnati Reds","NL",154,68,85,1,0.444,0.419,"6th of 8","31.5","",646,772,"448,247",27.4,27.5,33,12,"E.Lombardi (3.5)","C.Dressen (68-85)","Cincinnati Reds"
"732",83,1934,"Cincinnati Reds","NL",152,52,99,1,0.344,0.364,"8th of 8","42.0","",590,801,"206,773",29.7,29.1,41,18,"B.Frey (4.6)","B.O'Farrell (30-60), B.Shotton (1-0) and C.Dressen (21-39)","Cincinnati Reds"
"733",84,1933,"Cincinnati Reds","NL",153,58,94,1,0.382,0.383,"8th of 8","33.0","",496,643,"218,281",30.8,31.5,28,10,"C.Hafey (3.2)","D.Bush (58-94)","Cincinnati Reds"
"734",85,1932,"Cincinnati Reds","NL",155,60,94,1,0.39,0.402,"8th of 8","30.0","",575,715,"356,950",29.6,30.8,29,10,"B.Herman (6.6)","D.Howley (60-94)","Cincinnati Reds"
"735",86,1931,"Cincinnati Reds","NL",154,58,96,0,0.377,0.398,"8th of 8","43.0","",592,742,"263,316",29.3,29.7,32,12,"T.Cuccinello (5.2)","D.Howley (58-96)","Cincinnati Reds"
"736",87,1930,"Cincinnati Reds","NL",154,59,95,0,0.383,0.386,"7th of 8","33.0","",665,857,"386,727",29.6,30.4,33,14,"H.Heilmann (4.6)","D.Howley (59-95)","Cincinnati Reds"
"737",88,1929,"Cincinnati Reds","NL",155,66,88,1,0.429,0.453,"7th of 8","33.0","",686,760,"295,040",29.7,32,31,13,"R.Lucas (6.4)","J.Hendricks (66-88)","Cincinnati Reds"
"738",89,1928,"Cincinnati Reds","NL",153,78,74,1,0.513,0.474,"5th of 8","16.0","",648,686,"490,490",29.9,32.2,29,13,"E.Rixey (4.0)","J.Hendricks (78-74)","Cincinnati Reds"
"739",90,1927,"Cincinnati Reds","NL",153,75,78,0,0.49,0.493,"5th of 8","18.5","",643,653,"442,164",29.8,31.2,29,10,"R.Lucas (5.8)","J.Hendricks (75-78)","Cincinnati Reds"
"740",91,1926,"Cincinnati Reds","NL",157,87,67,3,0.565,0.563,"2nd of 8","2.0","",747,651,"672,987",29.9,30.7,33,12,"C.Mays (4.2)","J.Hendricks (87-67)","Cincinnati Reds"
"741",92,1925,"Cincinnati Reds","NL",153,80,73,0,0.523,0.532,"3rd of 8","15.0","",690,643,"464,920",29.6,30.8,34,11,"D.Luque (6.6)","J.Hendricks (80-73)","Cincinnati Reds"
"742",93,1924,"Cincinnati Reds","NL",153,83,70,0,0.542,0.552,"4th of 8","10.0","",649,579,"473,707",29.8,30.4,32,9,"E.Rixey (5.2)","J.Hendricks (83-70)","Cincinnati Reds"
"743",94,1923,"Cincinnati Reds","NL",154,91,63,0,0.591,0.554,"2nd of 8","4.5","",708,629,"575,063",29.8,28.8,29,11,"D.Luque (10.8)","P.Moran (91-63)","Cincinnati Reds"
"744",95,1922,"Cincinnati Reds","NL",156,86,68,2,0.558,0.556,"2nd of 8","7.0","",766,677,"493,754",29.1,27.7,24,9,"J.Daubert (4.0)","P.Moran (86-68)","Cincinnati Reds"
"745",96,1921,"Cincinnati Reds","NL",153,70,83,0,0.458,0.478,"6th of 8","24.0","",618,649,"311,227",28.5,30,30,12,"D.Luque (5.0)","P.Moran (70-83)","Cincinnati Reds"
"746",97,1920,"Cincinnati Reds","NL",154,82,71,1,0.536,0.553,"3rd of 8","10.5","",639,569,"568,107",29.2,27.8,26,14,"E.Roush (5.9)","P.Moran (82-71)","Cincinnati Reds"
"747",98,1919,"Cincinnati Reds","NL",140,96,44,0,0.686,0.661,"1st of 8","--","Won WS (5-3)",577,401,"532,501",29.1,27.4,27,10,"H.Groh (5.4)","P.Moran (96-44)","Cincinnati Reds"
"748",99,1918,"Cincinnati Reds","NL",129,68,60,1,0.531,0.53,"3rd of 8","15.5","",530,496,"163,009",28.4,24.8,26,13,"H.Groh (4.7)","C.Mathewson (61-57) and H.Groh (7-3)","Cincinnati Reds"
"749",100,1917,"Cincinnati Reds","NL",157,78,76,3,0.506,0.492,"4th of 8","20.0","",601,611,"269,056",27.7,25,29,13,"H.Groh (7.0)","C.Mathewson (78-76)","Cincinnati Reds"
"750",101,1916,"Cincinnati Reds","NL",155,60,93,2,0.392,0.409,"7th of 8","33.5","",505,617,"255,846",27.3,25.9,33,11,"H.Groh (5.3)","B.Herzog (34-49), I.Wingo (1-1) and C.Mathewson (25-43)","Cincinnati Reds"
"751",102,1915,"Cincinnati Reds","NL",160,71,83,6,0.461,0.443,"7th of 8","20.0","",516,585,"218,878",27.1,24.5,29,13,"F.Toney (7.1)","B.Herzog (71-83)","Cincinnati Reds"
"752",103,1914,"Cincinnati Reds","NL",157,60,94,3,0.39,0.407,"8th of 8","34.5","",530,651,"100,791",26.7,25.3,43,15,"B.Herzog (5.3)","B.Herzog (60-94)","Cincinnati Reds"
"753",104,1913,"Cincinnati Reds","NL",156,64,89,3,0.418,0.424,"7th of 8","37.5","",607,717,"258,000",27.3,28.2,45,20,"J.Tinker (3.8)","J.Tinker (64-89)","Cincinnati Reds"
"754",105,1912,"Cincinnati Reds","NL",155,75,78,2,0.49,0.456,"4th of 8","29.0","",656,722,"344,000",26.5,26.9,41,24,"G.Suggs (5.1)","H.O'Day (75-78)","Cincinnati Reds"
"755",106,1911,"Cincinnati Reds","NL",159,70,83,6,0.458,0.484,"6th of 8","29.0","",682,706,"300,000",26.7,28.1,32,14,"G.Suggs (4.8)","C.Griffith (70-83)","Cincinnati Reds"
"756",107,1910,"Cincinnati Reds","NL",156,75,79,2,0.487,0.455,"5th of 8","29.0","",620,684,"380,622",26.2,27,41,15,"G.Suggs (4.9)","C.Griffith (75-79)","Cincinnati Reds"
"757",108,1909,"Cincinnati Reds","NL",157,77,76,4,0.503,0.505,"4th of 8","33.5","",606,599,"424,643",25.9,28.1,45,16,"A.Fromme (5.8)","C.Griffith (77-76)","Cincinnati Reds"
"758",109,1908,"Cincinnati Reds","NL",155,73,81,1,0.474,0.451,"5th of 8","26.0","",488,543,"399,200",27.8,30,34,15,"H.Lobert (5.1)","J.Ganzel (73-81)","Cincinnati Reds"
"759",110,1907,"Cincinnati Reds","NL",156,66,87,3,0.431,0.506,"6th of 8","41.5","",526,519,"317,500",27.7,28,30,12,"B.Ewing (6.2)","N.Hanlon (66-87)","Cincinnati Reds"
"760",111,1906,"Cincinnati Reds","NL",155,64,87,4,0.424,0.46,"6th of 8","51.5","",533,582,"330,056",29,29.9,35,14,"J.Weimer (6.5)","N.Hanlon (64-87)","Cincinnati Reds"
"761",112,1905,"Cincinnati Reds","NL",155,79,74,2,0.516,0.524,"5th of 8","26.0","",736,698,"313,927",28.6,26.5,26,9,"C.Seymour (8.0)","J.Kelley (79-74)","Cincinnati Reds"
"762",113,1904,"Cincinnati Reds","NL",157,88,65,4,0.575,0.608,"3rd of 8","18.0","",695,547,"391,915",29.1,26.6,21,7,"N.Hahn (6.5)","J.Kelley (88-65)","Cincinnati Reds"
"763",114,1903,"Cincinnati Reds","NL",141,74,65,2,0.532,0.57,"4th of 8","16.5","",765,656,"351,680",29.9,28,28,9,"N.Hahn (7.4)","J.Kelley (74-65)","Cincinnati Reds"
"764",115,1902,"Cincinnati Reds","NL",141,70,70,1,0.5,0.551,"4th of 8","33.5","",633,566,"217,300",28.2,26.1,28,15,"N.Hahn (9.0)","B.McPhee (27-37), F.Bancroft (9-7) and J.Kelley (34-26)","Cincinnati Reds"
"765",116,1901,"Cincinnati Reds","NL",142,52,87,3,0.374,0.334,"8th of 8","38.0","",561,818,"205,728",26.9,26.1,33,14,"N.Hahn (7.5)","B.McPhee (52-87)","Cincinnati Reds"
"766",117,1900,"Cincinnati Reds","NL",144,62,77,5,0.446,0.473,"7th of 8","21.5","",703,745,"170,000",28.1,26.3,22,6,"N.Hahn (6.2)","B.Allen (62-77)","Cincinnati Reds"
"767",118,1899,"Cincinnati Reds","NL",156,83,67,6,0.553,0.547,"6th of 12","19.0","",861,777,"259,536",28.9,26,28,10,"N.Hahn (7.9)","B.Ewing (83-67)","Cincinnati Reds"
"768",119,1898,"Cincinnati Reds","NL",157,92,60,5,0.605,0.553,"3rd of 12","11.5","",831,740,"336,378",29.4,26.4,20,8,"P.Hawley (5.4)","B.Ewing (92-60)","Cincinnati Reds"
"769",120,1897,"Cincinnati Reds","NL",134,76,56,2,0.576,0.536,"4th of 12","17.0","",763,705,"336,800",29.5,27.9,19,7,"T.Breitenstein (8.2)","B.Ewing (76-56)","Cincinnati Reds"
"770",121,1896,"Cincinnati Reds","NL",128,77,50,1,0.606,0.605,"3rd of 12","12.0","",783,620,"373,000",30.9,27.7,20,10,"F.Dwyer (7.6)","B.Ewing (77-50)","Cincinnati Reds"
"771",122,1895,"Cincinnati Reds","NL",132,66,64,2,0.508,0.526,"8th of 12","21.0","",903,854,"281,000",30.9,27.7,21,6,"F.Dwyer (4.9)","B.Ewing (66-64)","Cincinnati Reds"
"772",123,1894,"Cincinnati Reds","NL",132,55,75,2,0.423,0.423,"10th of 12","35.0","",936,1108,"158,000",29.9,25.2,27,12,"F.Dwyer (4.7)","C.Comiskey (55-75)","Cincinnati Reds"
"773",124,1893,"Cincinnati Reds","NL",131,65,63,3,0.508,0.468,"6th of 12","20.5","",759,814,"194,250",28.9,25.8,26,9,"F.Dwyer (4.1)","C.Comiskey (65-63)","Cincinnati Reds"
"774",125,1892,"Cincinnati Reds","NL",155,82,68,5,0.547,0.521,"5th of 12","20.0","",766,731,"196,473",29.7,26.3,33,15,"F.Dwyer (6.4)","C.Comiskey (82-68)","Cincinnati Reds"
"775",126,1891,"Cincinnati Reds","NL",138,56,81,1,0.409,0.409,"7th of 8","30.5","",646,790,"97,500",29,29.2,21,6,"A.Latham (5.6)","T.Loftus (56-81)","Cincinnati Reds"
"776",127,1890,"Cincinnati Reds","NL",134,77,55,2,0.583,0.579,"4th of 8","10.5","",753,633,"131,980",28.1,26,18,6,"B.Rhines (10.9)","T.Loftus (77-55)","Cincinnati Reds"
