feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,target
0.007,56.030,-59.875,0.000,0.008,2983.06,0.126
0.006,56.030,-59.875,0.000,-0.001,139403.62,0.120
0.006,56.030,-59.875,0.000,-0.001,5454.0,0.115
0.006,56.030,-59.875,0.000,-0.000,68187.12000000001,0.109
0.005,56.030,-33.218,0.000,-0.000,35826.72,0.103
0.006,62.581,-0.000,0.006,0.006,224721.27,0.098
0.006,62.581,-0.000,0.004,0.004,2913.6,0.092
0.006,62.581,-0.000,0.003,0.003,57300.8,0.087
0.006,62.581,-0.000,0.002,0.002,110798.74000000002,0.081
0.006,62.581,-0.000,0.001,0.001,2506.91,0.075
0.006,62.581,-0.000,0.001,-0.006,209915.12,0.070
0.005,50.779,-50.000,-0.006,-0.010,106517.87,0.064
0.004,50.779,-50.000,-0.004,-0.007,42426.06,0.059
0.004,50.779,-50.000,-0.003,-0.004,157680.5,0.053
0.005,66.541,-0.000,0.011,0.010,102415.18,0.047
0.005,66.541,-25.000,0.007,0.007,287398.4,0.042
0.006,66.541,-25.000,0.005,0.011,133874.8,0.036
0.006,55.452,-50.000,-0.003,0.001,115524.7,0.031
0.006,62.230,-25.000,0.004,0.007,15302.48,0.025
0.005,53.469,-50.000,-0.004,-0.015,9517.76,0.020
0.005,53.469,-50.000,-0.002,-0.010,60.7,0.014
0.004,45.963,-75.000,-0.008,-0.013,44297.76,0.008
0.003,53.059,-50.000,0.001,0.004,34682.65,0.003
0.002,41.361,-100.000,-0.012,-0.016,26902.46,0.008
0.000,41.361,-100.000,-0.008,-0.005,67256.65,0.014
-0.002,36.629,-100.000,-0.012,-0.009,7380.879999999999,0.020
-0.003,36.629,-100.000,-0.008,0.000,93714.58,0.025
-0.005,32.377,-83.362,-0.012,-0.013,173133.62999999998,0.031
-0.006,32.377,-83.362,-0.008,0.004,120450.00000000001,0.036
-0.005,51.879,-33.276,0.014,0.022,225012.98999999996,0.042
-0.005,47.027,-49.913,0.003,0.015,192529.86000000002,0.047
-0.004,47.027,-49.913,0.002,0.010,13156.899999999998,0.053
-0.006,38.609,-83.362,-0.012,0.000,27651.96,0.059
-0.004,52.361,-19.958,0.012,0.019,134718.55000000002,0.064
-0.003,52.361,-19.958,0.008,-0.006,60951.479999999996,0.070
-0.003,48.201,-39.917,-0.001,-0.004,174937.37,0.075
-0.003,48.201,-39.917,-0.001,-0.003,98106.01,0.081
-0.004,44.096,-60.083,-0.007,0.005,60492.090000000004,0.087
-0.002,56.094,-0.000,0.015,0.003,648719.1499999999,0.092
0.001,59.224,-0.000,0.016,0.008,125142.42000000004,0.098
0.002,59.224,-0.000,0.011,0.012,64542.64,0.103
0.004,59.224,-0.000,0.007,0.008,15302.55,0.109
0.005,59.224,-0.000,0.005,0.012,5171.65,0.115
0.005,59.224,-0.000,0.003,-0.011,25925.120000000003,0.120
0.005,53.680,-24.935,-0.004,-0.020,96549.16,0.126
0.004,48.764,-49.870,-0.009,-0.020,80652.55,0.131
0.003,48.764,-49.870,-0.006,-0.013,93711.84,0.137
0.002,44.082,-74.805,-0.011,-0.015,161157.05,0.142
0.001,44.082,-74.805,-0.007,-0.010,127171.0,0.148
-0.000,44.082,-100.000,-0.005,-0.000,50384.4,0.154
0.002,62.209,-0.000,0.022,0.032,413060.15,0.159
0.005,65.272,-28.529,0.021,0.028,1112951.07,0.165
0.008,70.388,-0.000,0.027,0.038,169208.44,0.170
0.014,77.548,-0.000,0.044,0.051,566428.88,0.176
0.021,82.177,-11.736,0.055,0.060,1109979.68,0.182
0.029,84.716,-28.013,0.056,0.033,1933518.4800000004,0.187
0.035,84.716,-28.013,0.037,0.016,237059.49999999997,0.193
0.038,80.294,-32.003,0.018,-0.009,171070.88999999998,0.198
0.041,80.294,-32.003,0.012,-0.032,41049.38,0.204
0.041,75.712,-35.993,0.002,-0.053,94494.06999999999,0.209
0.040,71.327,-39.983,-0.005,-0.061,29803.69,0.215
0.039,71.327,-41.645,-0.003,-0.041,46568.6,0.221
0.037,66.839,-49.953,-0.009,-0.027,102443.5,0.226
0.037,72.442,-42.100,0.013,0.001,482391.61,0.232
0.040,77.834,-22.216,0.035,0.033,394608.96,0.237
0.042,77.834,-26.681,0.023,0.028,361421.10000000003,0.243
0.045,81.060,-9.074,0.035,0.038,9793.53,0.249
0.047,81.060,-23.102,0.023,0.032,786801.26,0.254
0.046,69.353,-46.203,-0.004,-0.017,201603.76,0.260
0.044,65.946,-53.877,-0.009,-0.044,93831.75,0.265
0.042,67.657,-46.203,0.000,-0.023,32032.28,0.271
0.041,69.318,-38.529,0.007,-0.028,65430.76,0.277
0.042,72.387,-23.102,0.017,-0.006,97920.35,0.282
0.041,72.387,-23.102,0.012,0.015,66919.3,0.288
0.041,73.893,-15.428,0.014,0.023,92577.57,0.293
0.040,69.793,-33.333,0.003,0.003,43641.58,0.299
0.038,65.819,-44.521,-0.004,-0.011,92513.21,0.304
0.036,65.819,-44.521,-0.003,-0.020,11571.869999999999,0.310
0.034,65.819,-44.521,-0.002,-0.014,28186.420000000002,0.316
0.032,65.819,-28.635,-0.001,-0.015,33158.4,0.321
0.031,68.250,-14.243,0.006,0.003,5956.629999999999,0.327
0.030,68.250,-24.935,0.004,0.008,40155.97,0.332
0.028,63.048,-66.782,-0.004,-0.001,28675.059999999998,0.338
0.026,65.851,-33.218,0.004,0.006,19120.600000000002,0.344
0.025,65.851,-33.218,0.003,0.004,829.15,0.349
0.023,60.527,-66.782,-0.005,-0.010,26003.8,0.355
0.021,55.724,-100.000,-0.010,-0.013,5615.549999999999,0.360
0.019,59.210,-66.782,0.000,0.004,31598.8,0.366
0.018,62.428,-0.000,0.006,0.003,78756.32999999999,0.372
0.017,57.539,-50.259,-0.002,-0.005,4212.6,0.377
0.016,57.539,-50.259,-0.001,0.003,38832.299999999996,0.383
0.015,61.074,-0.000,0.006,0.015,21721.510000000002,0.388
0.014,56.049,-50.259,-0.003,-0.003,37937.200000000004,0.394
0.012,51.529,-100.000,-0.008,-0.015,59756.18,0.399
0.011,55.402,-50.259,0.001,0.003,16276.06,0.405
0.010,55.402,-50.259,0.001,0.002,9488.08,0.411
0.009,50.703,-100.000,-0.006,-0.012,6583.5,0.416
0.008,54.829,-50.259,0.002,0.005,5871.8,0.422
0.008,54.829,-50.259,0.002,0.010,25018.68,0.427
0.007,54.829,-50.259,0.001,0.000,351.68,0.433
0.006,49.640,-100.000,-0.006,-0.006,29252.879999999997,0.439
0.006,54.298,-50.259,0.003,0.009,22400.75,0.444
0.005,54.298,-50.259,0.002,-0.001,14638.68,0.450
0.005,54.298,-50.259,0.001,-0.000,5331.72,0.455
0.005,54.298,-50.259,0.001,-0.000,44820.85999999999,0.461
0.004,48.291,-100.000,-0.006,-0.000,15272.939999999999,0.466
0.004,53.796,-50.259,0.002,-0.000,16588.54,0.472
0.004,53.796,-50.259,0.002,-0.000,19671.8,0.478
0.003,53.796,-50.259,0.001,-0.000,6880.99,0.483
0.004,59.268,-0.000,0.007,0.006,188118.4,0.489
0.005,59.268,-0.000,0.005,0.011,30395.5,0.494
0.009,77.601,-0.000,0.042,0.039,714596.4199999999,0.500
0.016,83.068,-0.000,0.053,0.052,2131432.78,0.500
0.018,65.779,-30.751,0.010,0.009,649062.0,0.545
0.019,62.297,-38.419,0.000,-0.007,322823.33,0.591
0.019,62.297,-38.419,0.000,-0.005,358818.27,0.636
0.020,64.478,-30.751,0.007,-0.035,49642.86,0.682
0.020,64.478,-30.751,0.004,-0.049,35022.89,0.727
0.019,56.851,-46.086,-0.010,-0.020,29339.5,0.773
0.018,56.851,-46.086,-0.007,-0.007,78824.93,0.818
0.018,62.056,-30.751,0.008,0.008,114998.91,0.864
0.016,54.921,-46.086,-0.007,-0.014,38186.65,0.909
0.016,57.549,-38.419,0.002,-0.003,81653.97,0.955
0.014,51.099,-100.000,-0.012,-0.002,47869.42,0.909
0.012,51.099,-85.630,-0.008,-0.001,81436.52,0.864
0.006,38.576,-75.065,-0.037,-0.046,505260.82,0.818
0.001,36.650,-81.870,-0.031,-0.024,354488.93999999994,0.773
-0.003,36.650,-81.870,-0.021,-0.022,85271.38,0.727
-0.005,40.118,-72.805,-0.008,0.004,260327.69999999998,0.682
-0.006,43.452,-63.739,0.001,0.009,139898.31,0.636
-0.008,40.994,-72.805,-0.005,0.032,76148.88,0.591
-0.008,44.382,-63.739,0.003,0.034,72578.73999999999,0.545
-0.008,44.382,-63.739,0.002,0.023,39113.100000000006,0.500
-0.009,41.611,-70.093,-0.005,0.002,24609.170000000002,0.455
-0.011,36.679,-90.031,-0.016,-0.018,58305.93,0.500
-0.010,46.855,-60.125,0.008,0.014,285141.54,0.423
-0.009,46.855,-60.125,0.006,0.003,60955.33,0.346
-0.010,41.676,-66.724,-0.009,-0.011,25047.57,0.269
-0.009,47.880,-20.166,0.007,0.012,288673.08999999997,0.192
-0.005,59.539,-0.000,0.037,0.053,1536150.7899999998,0.115
-0.002,54.286,-30.114,0.012,0.003,776383.1699999999,0.038
0.002,61.554,-0.000,0.033,0.028,589343.4099999999,0.115
0.006,61.554,-0.000,0.022,0.031,22225.0,0.192
0.010,63.240,-0.000,0.021,0.015,340145.52,0.269
0.013,63.240,-0.000,0.014,-0.023,39832.68,0.346
0.015,63.240,-33.314,0.009,-0.002,572323.8599999999,0.423
0.018,66.886,-22.171,0.019,-0.014,350294.85,0.500
0.021,70.067,-12.468,0.026,0.003,210218.08,0.500
0.022,63.498,-24.935,0.004,-0.017,574552.11,0.508
0.024,66.845,-12.468,0.016,0.001,293237.76,0.515
0.025,63.700,-21.365,0.004,-0.005,51566.25,0.523
0.025,63.700,-27.195,0.003,-0.016,358120.5,0.531
0.026,65.579,-18.130,0.008,-0.017,90162.81,0.538
0.026,65.579,-28.529,0.005,0.001,147767.33,0.546
0.025,61.866,-42.793,-0.003,-0.018,132218.32,0.553
0.023,55.111,-71.471,-0.015,-0.019,376179.13999999996,0.561
0.020,55.111,-71.471,-0.010,-0.012,47915.14,0.569
0.018,55.111,-71.471,-0.007,-0.015,29072.68,0.576
0.017,55.111,-71.471,-0.004,-0.010,46773.87,0.584
0.014,51.359,-85.736,-0.009,-0.007,46325.87,0.592
0.013,54.681,-60.083,0.000,0.015,114562.19,0.599
0.013,57.817,-39.917,0.007,0.016,45185.2,0.607
0.012,57.817,-39.917,0.004,0.011,64540.079999999994,0.615
0.011,53.522,-60.083,-0.004,0.001,57065.46,0.622
0.008,46.206,-100.000,-0.015,-0.006,54626.21,0.630
0.007,49.894,-75.065,-0.004,-0.004,7104.110000000001,0.637
0.006,49.894,-66.782,-0.002,-0.009,62058.92,0.645
0.006,56.800,-0.000,0.011,0.007,114789.04000000001,0.653
0.007,56.800,-0.000,0.007,0.011,61413.880000000005,0.660
0.007,56.800,-0.000,0.005,0.020,65037.72,0.668
0.007,56.800,-0.000,0.003,0.007,321253.57000000007,0.676
0.007,56.800,-0.000,0.002,0.005,12.76,0.683
0.006,51.620,-33.564,-0.005,-0.016,30509.76,0.691
0.005,51.620,-33.564,-0.003,-0.011,1369.55,0.698
0.004,46.730,-66.782,-0.009,-0.014,56191.020000000004,0.706
0.003,46.730,-66.782,-0.006,-0.009,6.36,0.714
0.002,46.730,-66.782,-0.004,-0.006,21477.72,0.721
0.002,52.366,-33.564,0.004,0.009,2548.0,0.729
0.002,52.366,-50.259,0.003,0.006,16507.09,0.737
0.003,57.621,-0.000,0.008,0.017,182619.93,0.744
0.003,57.621,-0.000,0.005,0.011,1384.46,0.752
0.004,57.621,-33.218,0.004,0.007,151067.63,0.760
0.002,45.223,-100.000,-0.010,-0.014,21817.73,0.767
0.002,50.884,-40.125,-0.001,-0.003,219635.47999999998,0.775
0.001,45.788,-60.083,-0.007,-0.015,103696.64,0.782
0.002,55.448,-19.958,0.008,0.003,249073.98000000004,0.790
0.002,50.571,-40.125,-0.001,-0.005,40704.119999999995,0.798
0.001,46.236,-60.083,-0.007,0.003,79084.0,0.805
0.001,50.780,-40.125,0.002,0.002,434221.66000000003,0.813
-0.001,42.960,-80.042,-0.012,-0.005,358057.8599999999,0.821
-0.002,42.960,-80.042,-0.008,-0.016,37115.75,0.828
-0.003,42.960,-66.724,-0.005,-0.004,272824.4,0.836
-0.004,39.191,-83.362,-0.010,-0.003,178866.07,0.844
-0.004,48.855,-50.087,0.006,0.004,407957.62,0.851
-0.004,48.855,-50.087,0.004,0.016,200240.93999999997,0.859
-0.004,44.733,-66.724,-0.004,0.004,23615.649999999998,0.866
-0.004,44.733,-66.724,-0.002,0.003,112705.47999999998,0.874
-0.005,40.745,-83.362,-0.008,0.002,65877.51,0.882
-0.004,50.289,-50.087,0.007,0.001,120478.56,0.889
-0.003,54.257,-33.449,0.011,0.007,311538.54000000004,0.897
-0.002,54.257,-0.000,0.008,0.011,8185.45,0.905
-0.001,54.257,-0.000,0.005,0.007,78136.66,0.912
-0.001,49.339,-25.000,-0.003,0.005,112276.77000000002,0.920
0.000,53.844,-0.000,0.004,-0.003,170356.98,0.927
0.001,53.844,-25.195,0.003,-0.008,4293.68,0.935
0.000,48.810,-50.130,-0.004,-0.012,17140.199999999997,0.943
0.000,48.810,-50.130,-0.003,-0.008,115486.05,0.950
0.001,53.818,-25.195,0.004,0.007,77292.0,0.958
0.001,53.818,-25.195,0.003,-0.001,31850.0,0.966
0.002,53.818,-33.564,0.002,-0.001,30798.550000000003,0.973
0.002,53.818,-33.564,0.001,0.006,978557.84,0.981
0.002,53.818,-33.564,0.001,0.004,46714.98,0.989
0.001,47.138,-66.782,-0.006,-0.010,75391.48999999999,0.996
0.002,53.371,-33.564,0.003,-0.000,299597.95,0.989
0.002,53.371,-33.564,0.002,-0.000,77120.16,0.981
0.000,41.909,-42.815,-0.012,-0.013,456646.1199999999,0.973
-0.002,37.565,-49.827,-0.014,-0.015,56684.15000000001,0.966
-0.001,53.228,-0.000,0.010,0.016,352105.04,0.958
-0.001,48.831,-16.609,0.000,-0.002,517619.55999999994,0.950
-0.001,48.831,-16.609,0.000,-0.002,256689.60000000003,0.943
-0.003,40.978,-49.827,-0.013,-0.001,15640.78,0.935
-0.003,45.682,-33.218,-0.002,0.012,251779.66999999998,0.927
-0.003,45.682,-33.218,-0.001,-0.011,49525.64,0.920
-0.003,45.682,-33.218,-0.001,-0.001,348059.99,0.912
-0.004,41.546,-49.827,-0.007,-0.007,37672.66999999999,0.905
-0.006,37.856,-66.436,-0.011,0.002,25886.45,0.897
-0.008,31.724,-100.000,-0.020,-0.018,58989.340000000004,0.889
-0.010,37.201,-83.218,-0.007,-0.006,3413.0099999999998,0.882
-0.013,29.585,-66.667,-0.024,-0.023,307167.38999999996,0.874
-0.014,34.390,-58.355,-0.010,-0.003,274699.45999999996,0.866
-0.014,38.882,-50.043,0.000,0.011,198978.8,0.859
-0.014,38.882,-50.043,0.000,0.020,31638.820000000007,0.851
-0.017,29.492,-83.377,-0.026,-0.019,190315.34999999998,0.844
-0.018,37.624,-63.645,-0.004,0.020,71228.18000000001,0.836
-0.020,33.467,-81.870,-0.016,-0.006,16767.36,0.828
-0.019,40.542,-60.021,0.002,0.002,142339.41999999998,0.821
-0.019,40.542,-55.594,0.002,0.002,10236.73,0.813
-0.019,38.176,-66.782,-0.005,0.020,12559.999999999998,0.805
-0.018,41.832,-55.594,0.003,0.007,6.29,0.798
-0.018,39.327,-66.782,-0.005,0.011,33913.520000000004,0.790
-0.019,36.968,-87.549,-0.009,-0.012,33371.76000000001,0.782
-0.017,44.213,-62.516,0.007,0.005,28233.940000000002,0.775
-0.016,44.213,-39.917,0.004,0.010,169.82999999999998,0.767
-0.017,36.856,-100.000,-0.016,-0.019,371793.41,0.760
-0.018,36.856,-100.000,-0.011,-0.006,84279.8,0.752
-0.018,36.856,-100.000,-0.007,0.002,62218.14,0.744
-0.018,36.856,-100.000,-0.005,-0.011,59000.5,0.737
-0.017,41.226,-75.065,0.003,-0.001,5006.1,0.729
-0.017,38.367,-100.000,-0.004,0.012,128312.79999999999,0.721
-0.017,38.367,-100.000,-0.003,0.008,100028.54,0.714
-0.016,38.367,-100.000,-0.002,0.005,626.0,0.706
-0.016,38.367,-100.000,-0.001,0.004,183587.06,0.698
-0.015,38.367,-100.000,-0.001,-0.004,144190.59,0.691
-0.014,43.993,-66.782,0.006,0.010,36239.76,0.683
-0.014,36.764,-100.000,-0.009,-0.006,426465.04999999993,0.676
-0.017,27.135,-100.000,-0.032,-0.030,166097.02999999997,0.668
-0.019,27.135,-100.000,-0.021,-0.020,15382.17,0.660
-0.019,40.665,-49.913,0.005,0.006,63548.0,0.653
-0.018,40.665,-49.913,0.003,-0.002,34648.92,0.645
-0.017,40.665,-49.913,0.002,0.011,125692.74,0.637
-0.018,35.211,-83.362,-0.011,0.020,117967.90000000001,0.630
-0.018,35.211,-83.362,-0.008,0.014,463671.75,0.622
-0.017,43.931,-49.913,0.008,0.003,159654.52,0.615
-0.014,50.997,-16.638,0.018,0.015,339119.86,0.607
-0.010,54.111,-0.000,0.018,0.016,253548.3,0.599
-0.009,47.597,-42.793,-0.001,0.011,208446.99000000002,0.592
-0.009,44.699,-57.058,-0.007,0.001,5536.4,0.584
-0.009,44.699,-57.058,-0.004,-0.012,29665.460000000003,0.576
-0.009,44.699,-57.058,-0.003,-0.021,18610.57,0.569
-0.009,41.510,-71.471,-0.008,-0.027,512754.68000000005,0.561
-0.009,45.683,-57.058,0.001,0.001,19143.420000000002,0.553
-0.008,45.683,-57.058,0.001,0.007,53684.77,0.546
-0.005,56.397,-14.264,0.020,0.024,366235.08999999997,0.538
-0.005,49.401,-42.793,0.000,0.003,390433.01,0.531
-0.005,43.553,-71.471,-0.013,-0.004,10416.849999999999,0.523
-0.006,43.553,-71.471,-0.008,-0.009,8067.85,0.515
-0.007,40.769,-75.033,-0.012,-0.013,318830.49,0.508
-0.006,50.937,-37.451,0.011,-0.008,200460.97999999998,0.500
-0.011,34.127,-100.000,-0.044,-0.044,191826.76,0.500
-0.010,47.981,-35.682,0.009,0.022,649800.8899999999,0.450
-0.008,49.889,-28.487,0.013,0.021,149826.00999999998,0.400
-0.009,44.636,-49.926,-0.011,0.001,215721.32,0.350
-0.010,44.636,-49.926,-0.007,-0.018,392283.5199999999,0.300
-0.011,42.896,-57.047,-0.011,0.033,28076.71,0.250
-0.012,42.896,-57.047,-0.007,-0.017,49353.119999999995,0.200
-0.013,42.896,-45.377,-0.005,-0.018,136883.65,0.150
-0.013,42.896,-45.377,-0.003,0.008,35637.600000000006,0.100
-0.010,52.817,-9.057,0.023,0.031,119843.16,0.050
-0.009,48.288,-27.264,0.003,0.014,64279.69,0.100
-0.009,46.167,-29.979,-0.005,0.003,72237.62,0.150
-0.009,46.167,-29.979,-0.003,0.002,73637.02,0.200
-0.008,48.776,-50.130,0.004,0.008,88843.37,0.250
-0.007,48.776,-50.130,0.003,-0.021,11540.54,0.300
-0.007,46.181,-75.065,-0.004,-0.007,132433.13,0.350
-0.007,46.181,-75.065,-0.003,0.002,192027.58000000002,0.400
-0.000,64.002,-0.000,0.049,0.052,291688.84,0.450
0.004,61.250,-11.201,0.026,0.022,516391.84,0.500
0.008,64.519,-0.000,0.030,0.028,21476.7,0.550
0.013,66.053,-15.495,0.027,0.031,175289.46999999997,0.500
0.016,66.053,-15.495,0.018,0.021,16046.850000000002,0.514
0.017,60.033,-30.831,-0.001,-0.050,33794.76,0.527
0.017,57.197,-38.578,-0.007,-0.034,6506.27,0.541
0.018,61.131,-23.163,0.008,-0.022,54572.61,0.554
0.018,58.263,-33.391,-0.001,-0.028,18880.0,0.568
0.017,58.263,-33.391,-0.001,-0.018,22738.43,0.581
0.017,58.263,-33.391,-0.000,0.000,22015.0,0.595
0.016,55.005,-41.782,-0.007,0.000,48399.96,0.608
0.014,51.911,-75.097,-0.011,-0.019,166617.3,0.622
0.011,48.947,-87.549,-0.014,-0.013,12838.82,0.635
0.009,46.111,-100.000,-0.016,-0.015,59075.8,0.649
0.006,46.111,-87.532,-0.010,-0.010,21087.08,0.662
0.004,46.111,-85.736,-0.007,-0.000,78758.51,0.676
0.004,52.924,-50.087,0.008,0.019,48391.1,0.689
0.004,52.924,-50.087,0.005,0.019,9792.300000000001,0.703
0.003,49.309,-66.724,-0.003,0.013,3297.54,0.716
0.004,52.782,-50.087,0.005,0.015,43.89,0.730
0.003,49.155,-60.083,-0.003,0.004,48849.229999999996,0.743
0.002,49.155,-50.000,-0.002,-0.010,24557.99,0.757
0.002,52.908,-25.000,0.005,-0.001,37729.06,0.770
0.003,52.908,-25.000,0.003,0.006,84877.33,0.784
0.003,52.908,-0.000,0.002,-0.002,1812.03,0.797
0.002,48.442,-33.333,-0.005,-0.002,34430.0,0.811
0.001,48.442,-50.000,-0.003,-0.001,109606.34,0.824
0.000,44.123,-100.000,-0.009,-0.014,20207.04,0.838
-0.000,49.018,-33.333,0.001,-0.003,107108.16,0.851
-0.000,49.018,-33.333,0.000,-0.002,6.26,0.865
-0.000,49.018,-33.333,0.000,0.005,769.98,0.878
-0.000,49.018,-33.333,0.000,0.003,12553.82,0.892
-0.001,49.018,-33.333,0.000,0.009,72215.36,0.905
-0.001,43.498,-66.667,-0.006,-0.007,79350.08,0.919
-0.003,38.793,-100.000,-0.011,-0.011,786.24,0.932
-0.005,31.432,-100.000,-0.020,-0.020,114775.41,0.946
-0.007,31.432,-100.000,-0.013,-0.013,17552.84,0.959
-0.009,31.432,-80.042,-0.009,-0.009,73039.7,0.973
-0.011,25.436,-100.000,-0.019,-0.012,135634.15000000002,0.986
-0.016,19.428,-100.000,-0.032,-0.021,134896.03,0.973
-0.018,25.705,-80.042,-0.015,0.005,28039.75,0.959
-0.022,20.536,-100.000,-0.029,-0.016,56333.799999999996,0.946
-0.025,20.536,-100.000,-0.019,-0.010,61941.41999999999,0.932
-0.026,26.268,-90.926,-0.007,0.012,33222.65,0.919
-0.026,31.583,-81.853,0.002,0.034,21564.9,0.905
-0.026,29.308,-88.915,-0.005,0.010,15422.5,0.892
-0.026,29.308,-88.915,-0.003,0.026,5587.12,0.878
-0.025,34.759,-75.033,0.004,0.024,19213.38,0.865
-0.024,34.759,-75.033,0.003,0.009,10858.2,0.851
-0.023,34.759,-71.471,0.002,-0.000,25339.289999999997,0.838
-0.021,34.759,-60.083,0.001,0.006,3085.0,0.824
-0.020,34.759,-33.333,0.001,0.004,24266.61,0.811
-0.019,34.759,-33.333,0.001,-0.004,6170.0,0.797
-0.019,31.027,-50.000,-0.006,-0.009,37877.84,0.784
-0.020,25.150,-75.130,-0.017,-0.019,123748.02,0.770
-0.020,32.142,-49.741,-0.005,-0.006,24675.14,0.757
-0.019,32.142,-49.741,-0.003,-0.004,12207.75,0.743
-0.019,32.142,-49.741,-0.002,-0.003,98.38999999999999,0.730
-0.019,28.784,-75.130,-0.008,-0.002,15825.550000000001,0.716
-0.020,25.926,-100.000,-0.012,0.005,50572.76,0.703
-0.020,25.926,-80.083,-0.008,-0.003,33756.91,0.689
-0.021,23.249,-100.000,-0.012,-0.008,181415.68,0.676
-0.020,37.212,-60.166,0.005,0.007,84587.9,0.662
-0.019,33.892,-80.083,-0.003,0.005,38653.0,0.649
-0.017,44.641,-24.870,0.011,0.023,85893.33,0.635
-0.015,49.056,-0.000,0.014,0.021,137574.49000000002,0.622
-0.014,41.802,-50.259,-0.004,0.008,15368.42,0.608
-0.015,36.110,-100.000,-0.015,-0.020,80609.0,0.595
-0.015,40.474,-75.130,-0.004,-0.001,61005.76,0.581
-0.014,44.553,-50.259,0.004,-0.007,12120.359999999999,0.568
-0.013,41.491,-75.130,-0.004,-0.018,94655.87,0.554
-0.014,38.632,-100.000,-0.009,-0.005,171388.24,0.541
-0.017,29.772,-80.062,-0.032,-0.016,297976.44,0.527
-0.021,26.507,-100.000,-0.034,-0.030,388039.80999999994,0.514
-0.020,40.579,-60.021,0.003,-0.001,328936.39999999997,0.500
-0.019,43.485,-50.052,0.008,0.012,11297.390000000001,0.486
-0.024,30.571,-92.878,-0.046,-0.037,90676.25,0.500
-0.026,35.724,-74.957,-0.018,0.014,115546.05,0.487
-0.026,40.458,-58.319,0.001,0.035,61552.95,0.475
-0.026,40.458,-58.319,0.001,-0.002,123705.84,0.462
-0.027,37.274,-74.957,-0.012,-0.021,40859.86,0.450
-0.025,42.174,-58.319,0.005,0.050,23994.7,0.437
-0.023,44.509,-45.463,0.009,0.027,124541.47,0.425
-0.022,42.654,-50.000,-0.000,-0.001,110504.48000000001,0.412
-0.021,42.654,-44.457,-0.000,-0.001,28128.38,0.400
-0.020,42.654,-44.457,-0.000,0.012,45640.329999999994,0.387
-0.019,42.654,-44.457,-0.000,-0.005,9105.0,0.375
-0.019,40.391,-55.543,-0.006,-0.016,32673.399999999998,0.362
-0.018,40.391,-59.875,-0.004,-0.004,14362.199999999999,0.350
-0.017,43.847,-50.000,0.004,0.004,2088.08,0.337
-0.015,47.147,-25.000,0.009,0.009,45970.33,0.325
-0.014,44.341,-50.000,-0.001,-0.001,607.0,0.312
-0.012,47.693,-33.333,0.006,0.012,14877.76,0.300
-0.009,53.728,-0.000,0.017,0.021,403894.9,0.287
-0.009,47.790,-50.130,-0.002,-0.005,82998.73,0.275
-0.008,47.790,-50.130,-0.001,-0.010,46008.670000000006,0.262
-0.007,47.790,-50.130,-0.001,-0.000,3040.0,0.250
-0.006,47.790,-50.130,-0.000,-0.007,19875.52,0.237
-0.006,47.790,-50.130,-0.000,-0.017,608.0,0.225
-0.006,44.266,-75.065,-0.007,-0.005,18210.000000000004,0.212
-0.006,44.266,-100.000,-0.004,-0.003,11898.359999999999,0.200
-0.005,48.657,-66.782,0.003,0.004,37535.94,0.187
-0.005,48.657,-66.782,0.002,0.003,10331.5,0.175
-0.003,52.956,-33.564,0.008,0.008,24283.899999999998,0.162
-0.002,52.956,-33.564,0.005,0.012,60.9,0.150
-0.001,52.956,-0.000,0.004,0.008,27542.84,0.137
-0.001,52.956,-0.000,0.002,-0.001,28939.47,0.125
-0.000,52.956,-0.000,0.002,-0.001,4263.0,0.112
-0.001,47.228,-50.000,-0.005,-0.013,46706.56,0.100
-0.001,47.228,-50.000,-0.004,-0.009,6080.0,0.087
-0.001,47.228,-50.000,-0.002,-0.006,54464.64,0.075
-0.003,37.182,-100.000,-0.014,-0.017,122479.27,0.062
-0.002,48.890,-33.333,0.003,0.002,95000.39,0.050
-0.002,48.890,-33.333,0.002,0.007,76258.6,0.037
-0.000,58.014,-33.276,0.014,0.018,354529.67999999993,0.025
0.001,58.014,-33.276,0.010,0.012,79124.57,0.012
0.002,58.014,-33.276,0.006,0.021,134968.66,0.025
0.004,62.205,-16.638,0.011,0.007,133892.73,0.037
0.005,62.205,-16.638,0.007,0.005,66158.42,0.050
0.010,77.729,-0.000,0.043,0.029,794106.54,0.062
0.014,72.409,-16.623,0.022,0.013,535208.8099999999,0.075
0.021,80.880,-0.000,0.053,0.047,840096.65,0.087
0.026,80.880,-11.137,0.036,0.025,995914.1599999998,0.100
0.030,80.880,-11.137,0.024,0.017,171369.08,0.112
0.031,71.728,-23.519,0.003,-0.040,50295.38999999999,0.125
0.033,73.352,-18.754,0.008,-0.014,56875.03999999999,0.137
0.032,69.079,-26.644,-0.001,-0.054,33219.58,0.150
0.032,69.079,-28.561,-0.001,-0.036,123369.18000000001,0.162
0.031,69.079,-28.561,-0.000,-0.024,32173.35,0.175
0.030,69.079,-28.561,-0.000,-0.003,27856.51,0.187
0.029,64.061,-38.419,-0.007,-0.015,122879.81,0.200
0.027,64.061,-55.543,-0.004,-0.004,80129.55,0.212
0.025,64.061,-62.468,-0.003,-0.002,3212.61,0.225
0.023,58.680,-100.000,-0.008,-0.008,105628.56000000001,0.237
0.021,58.680,-83.362,-0.006,-0.005,34245.670000000006,0.250
